book_id	kind	url
000021199	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000045E76
000021430	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002DC7E
000021659	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002A74A
000021707	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B77C
000021708	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B794
000021709	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001E030
000021782	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000002A4C8
000021791	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000330F0
000021808	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003EE92
000021814	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005CF40
000021814	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000021814
000021814	pdf	http://access.bl.uk/item/pdf/lsidyv3caf0f38
000022105	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001EE0A
000022105	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_0000000424B6
000022197	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000040C32
000022207	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000018198
000022207	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000022207
000022207	pdf	http://access.bl.uk/item/pdf/lsidyv376c232d
000022288	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000029034
000022376	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000028596
000022564	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000047268
000022782	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000027E6A
000023565	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004600E
000024878	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A00C
000024878	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000024878
000024878	pdf	http://access.bl.uk/item/pdf/lsidyv3c58ae0d
000024896	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059E14
000024897	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005B2EA
000024897	ark	http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005BF32
000024897	flickr	https://www.flickr.com/photos/britishlibrary/tags/sysnum000024897
