book_id	primary	secondary	tertiary
002548824	Non-Fiction	Collected Works	English Authors
002548854	Non-Fiction	Poetry	English Selections
002548929	Non-Fiction	Geography & Topography	England
002549270	Non-Fiction	Geography & Ethnology	
002549281	Non-Fiction	History	United States of America
002549382	Non-Fiction	Topography	Scotch
002549663	Non-Fiction	Moral Philosophy	
002549664	Non-Fiction	Moral Philosophy	
002550409	Non-Fiction	Hydrography	
002550486	Fiction	Fiction	English 3 Volume Novels
002550717	Fiction	Fiction	English 3 Volume Novels
002550725	Fiction	Fiction	English 3 Volume Novels
002550727	Fiction	Fiction	Collected Works of English Novelists
002551327	Non-Fiction	Topography	African
002551454	Non-Fiction	Poetry	English, Separate Works, 19th Century
002551455	Non-Fiction	Poetry	English, Separate Works, 19th Century
002551530	Non-Fiction	Topography	Australasian
002551578	Non-Fiction	Collected Works	English Authors
002551579	Non-Fiction	Collected Works	English Authors
002551581	Non-Fiction	Poetry	English Selections
002552458	Non-Fiction	Topography	English, Southern
002552484	Non-Fiction	Collected Works	English Authors
002552485	Non-Fiction	Collected Works	English Authors
002552490	Non-Fiction	Poetry	English Songs & Ballads
002552512	Non-Fiction	Topography	English
002552514	Non-Fiction	Topography	English, Southern
002552528	Non-Fiction	Poetry	English, Separate Works, 19th Century
002552590	Non-Fiction	Collected Works	English Authors
002552702	Fiction	Fiction	English 3 Volume Novels
002552707	Fiction	Fiction	English 3 Volume Novels
002552771	Fiction	Fiction	English 1 Volume Novels
002552774	Fiction	Fiction	English 3 Volume Novels
002552775	Fiction	Fiction	English 3 Volume Novels
002552829	Fiction	Fiction	English 3 Volume Novels
002553249	Non-Fiction	Geography	General America
002553250	Non-Fiction	Topography	South American
002553982	Fiction	Fiction	English 3 Volume Novels
002553988	Fiction	Fiction	English 3 Volume Novels
002554037	Non-Fiction	Topography	Travels
002554043	Non-Fiction	Topography	Travels
002554152	Non-Fiction	Topography	English, Southern
002554239	Non-Fiction	Poetry	English
002554251	Non-Fiction	Poetry	English Selections
002554257	Non-Fiction	Topography	Danish, Swedish, Norwegian
002554314	Non-Fiction	Topography	United States of America
002554355	Non-Fiction	Topography	Polar Seas & Arctic Expeditions
002554368	Fiction	Fiction	English 3 Volume Novels
002554374	Fiction	Fiction	English 3 Volume Novels
002554428	Fiction	Fiction	English 3 Volume Novels
002554482	Non-Fiction	Poetry	English Songs & Ballads
002554492	Non-Fiction	History	Mexico & South America
002554493	Non-Fiction	Geography & Ethnology	
002554497	Non-Fiction	History	United States of America
002554513	Non-Fiction	Topography	West Indian, Canadian
002554738	Fiction	Fiction	English 3 Volume Novels
002554764	Non-Fiction	Plays	
002554778	Non-Fiction	Topography	Australasian
002554779	Non-Fiction	Topography	Australasian
002554851	Non-Fiction	History	United States of America
002554852	Non-Fiction	History	Scotch & Irish
002554858	Non-Fiction	Uncategorised	
002554866	Non-Fiction	Topography	English, Northern
002554978	Non-Fiction	Poetry	English
002554981	Non-Fiction	Poetry	English
002555041	Non-Fiction	Poetry	English, Separate Works, 19th Century
002555065	Non-Fiction	Topography	United States of America
002555070	Non-Fiction	Topography	Indian, Chinese, Japanese
002555204	Non-Fiction	Topography	Russian, Polish
002555228	Non-Fiction	Topography	Indian, Chinese, Japanese
002555233	Fiction	Fiction	English 3 Volume Novels
002555363	Non-Fiction	Biology	
002555566	Non-Fiction	Topography	English, Northern
002555570	Non-Fiction	History	General
002555572	Non-Fiction	History	General
002555639	Non-Fiction	Poetry	English, 18th, 19th Centuries
002555655	Non-Fiction	Poetry	English Selections
002555731	Non-Fiction	History	General
002555748	Non-Fiction	Topography	United States of America
002555757	Non-Fiction	Topography	Irish
002555762	Non-Fiction	Topography	Spanish & Portuguese
002555764	Non-Fiction	Topography	United States of America
002555887	Non-Fiction	Topography	Travels
002556086	Non-Fiction	Topography	English, Southern
002556089	Non-Fiction	Topography	Great Britain & Ireland
002556178	Non-Fiction	Topography	Indian, Chinese, Japanese
002556209	Non-Fiction	Topography	Scotch
002556345	Non-Fiction	Poetry	English Selections
002556356	Non-Fiction	Drama	English, Separate Plays, 19th Century
002556364	Non-Fiction	Topography	English, Northern
002556394	Non-Fiction	Topography	French
002556395	Non-Fiction	Topography	West Indian, Canadian
002556396	Non-Fiction	Topography	English, Southern
002556543	Fiction	Fiction	English 3 Volume Novels
002556584	Fiction	Fiction	English 3 Volume Novels
002556587	Fiction	Fiction	English 3 Volume Novels
002556608	Fiction	Fiction	English 3 Volume Novels
002556613	Non-Fiction	Uncategorised	
002556729	Non-Fiction	Uncategorised	
002556828	Fiction	Fiction	English 1 & 2 Volume Novels
002557090	Non-Fiction	Topography	Indian, Chinese, Japanese
002557305	Non-Fiction	Topography	European
002557309	Non-Fiction	Topography	United States of America
002557311	Non-Fiction	Topography	European
002557392	Non-Fiction	Topography	African
002557728	Fiction	Fiction	English 3 Volume Novels
002557729	Non-Fiction	Topography	French
002557967	Non-Fiction	Geography & Topography	America
002557974	Non-Fiction	Geography & Topography	General
002557975	Non-Fiction	Geography	
002557976	Non-Fiction	Geography	
002557981	Non-Fiction	History	America
002557992	Non-Fiction	Topography	Travels
002558020	Non-Fiction	Geography	
002558127	Non-Fiction	Geography & Topography	General
002558129	Non-Fiction	Geography & Topography	General
002558130	Non-Fiction	Geography	
002558382	Non-Fiction	Poetry	English Selections
002558383	Non-Fiction	Poetry	English Selections
002558384	Non-Fiction	Poetry	English Selections
002558888	Fiction	Fiction	English 3 Volume Novels
002558889	Fiction	Fiction	English 3 Volume Novels
002558918	Non-Fiction	Topography	English, Southern
002558919	Non-Fiction	Topography	English, Northern
002558920	Non-Fiction	Topography	London
002559005	Fiction	Fiction	English 3 Volume Novels
002559060	Non-Fiction	Geography & Topography	America
002559063	Fiction	Fiction	English 3 Volume Novels
002559346	Non-Fiction	Travels	German
002559417	Non-Fiction	Geology	Gems & precious stones
002559451	Non-Fiction	Topography	Travels
002559687	Non-Fiction	Drama	English, Separate Plays, 19th Century
002559962	Non-Fiction	History	America
002559964	Non-Fiction	History	United States of America
002560018	Non-Fiction	Geography & Ethnology	
002560025	Non-Fiction	History	America
002560028	Non-Fiction	History	America
002560091	Non-Fiction	Plays	
002560108	Non-Fiction	Drama	English, Separate Plays, 19th Century
002560111	Non-Fiction	Drama	English, Separate Plays, 15th to 18th Century
002560113	Non-Fiction	Drama	English, Separate Plays, 19th Century
002560118	Non-Fiction	Drama	English, Separate Plays, 19th Century
002560121	Non-Fiction	Plays	
002560133	Non-Fiction	Plays	
002560159	Non-Fiction	Uncategorised	
002560435	Non-Fiction	Geography & Ethnology	
002560562	Non-Fiction	History	United States of America
002563331	Non-Fiction	Poetry	English Selections
002564152	Non-Fiction	Poetry	English, Separate Works, 19th Century
002564379	Non-Fiction	History	Mexico & South America
002564391	Non-Fiction	Geography & Topography	England
002564400	Non-Fiction	Topography	London
002564426	Non-Fiction	History	United States of America
002565335	Non-Fiction	Topography	English, Northern
002565338	Non-Fiction	Topography	English
002565348	Non-Fiction	Topography	United States of America
002565457	Non-Fiction	History	United States of America
002565825	Non-Fiction	Topography	Indian, Chinese, Japanese
002565938	Non-Fiction	Topography	Great Britain & Ireland
002566108	Fiction	Fiction	English 3 Volume Novels
002566109	Fiction	Fiction	English 3 Volume Novels
002566110	Fiction	Fiction	English 3 Volume Novels
002566111	Fiction	Fiction	English 1 Volume Novels
002566112	Fiction	Fiction	English 1 Volume Novels
002566115	Fiction	Fiction	English 3 Volume Novels
002566390	Fiction	Fiction	English 3 Volume Novels
002566503	Non-Fiction	Uncategorised	
002566578	Non-Fiction	Poetry	English, 18th, 19th Centuries
002566586	Non-Fiction	Poetry	English Songs & Ballads
002566754	Fiction	Fiction	English 3 Volume Novels
002566764	Non-Fiction	History	Dutch
002566770	Non-Fiction	History	Belgian
002566774	Non-Fiction	History	Dutch
002566775	Non-Fiction	History	Dutch
002566776	Non-Fiction	History	Dutch
002566778	Non-Fiction	History	Dutch
002566779	Non-Fiction	History	Dutch
002566782	Non-Fiction	History	Dutch
002566792	Non-Fiction	History	Belgian
002567036	Non-Fiction	Poetry	English
002567111	Non-Fiction	Poetry	English
002567112	Non-Fiction	Poetry	English, Separate Works, 19th Century
002567123	Non-Fiction	Voyages & Travels	Various Languages
002567256	Non-Fiction	Poetry	English
002567549	Non-Fiction	Topography	Indian, Chinese, Japanese
002567559	Fiction	Fiction	English 3 Volume Novels
002567587	Non-Fiction	Drama	English, Separate Plays, 19th Century
002567773	Non-Fiction	Topography	Indian, Chinese, Japanese
002567776	Non-Fiction	Topography	Indian, Chinese, Japanese
002567904	Non-Fiction	Topography	Indian, Chinese, Japanese
002567962	Non-Fiction	Poetry	English, Separate Works, 19th Century
002568126	Non-Fiction	Poetry	English, Female Poets
002568141	Non-Fiction	Topography	English, Southern
002568154	Fiction	Fiction	English 3 Volume Novels
002568462	Non-Fiction	History	United States of America
002568604	Non-Fiction	Topography	United States of America
002568640	Non-Fiction	Poetry	English Selections
002568784	Non-Fiction	Topography	Syrian, Persian, Central Asian
002568801	Fiction	Fiction	English 3 Volume Novels
002568808	Non-Fiction	Poetry	English, Separate Works, 19th Century
002568812	Non-Fiction	Poetry	English, Separate Works, 19th Century
002568875	Non-Fiction	Topography	Scotch
002568978	Non-Fiction	Plays	
002568986	Non-Fiction	Collections of Travels	
002570211	Non-Fiction	Topography	North German
002570580	Non-Fiction	Poetry	English
002571191	Non-Fiction	Topography	African
002571306	Non-Fiction	Poetry	English
002571427	Non-Fiction	Collected Works	English Authors
002572260	Fiction	Fiction	English 3 Volume Novels
002572262	Fiction	Fiction	English 3 Volume Novels
002572272	Fiction	Fiction	English 1 & 2 Volume Novels
002572284	Fiction	Fiction	English 3 Volume Novels
002572287	Non-Fiction	Topography	Swiss
002572300	Fiction	Fiction	English 1 & 2 Volume Novels
002572301	Fiction	Fiction	English 3 Volume Novels
002572306	Fiction	Fiction	English 3 Volume Novels
002572309	Fiction	Fiction	English 3 Volume Novels
002572311	Fiction	Fiction	English 3 Volume Novels
002572321	Fiction	Fiction	English 1 Volume Novels
002572323	Fiction	Fiction	English 3 Volume Novels
002572325	Fiction	Fiction	English 3 Volume Novels
