volume_id	book_id	volume_num	total	path	filesize
000028758_02	000028758	2	2	0000/000028758_02_text.txt	267
000028762_01	000028762	1	1	0000/000028762_01_text.txt	1029
000028873_01	000028873	1	1	0000/000028873_01_text.txt	805
000028876_01	000028876	1	1	0000/000028876_01_text.txt	789
000028999_01	000028999	1	1	0000/000028999_01_text.txt	376
000029006_01	000029006	1	1	0000/000029006_01_text.txt	37
000029007_01	000029007	1	1	0000/000029007_01_text.txt	39
000029008_01	000029008	1	1	0000/000029008_01_text.txt	37
000029031_01	000029031	1	1	0000/000029031_01_text.txt	316
000029032_01	000029032	1	1	0000/000029032_01_text.txt	340
000029285_01	000029285	1	3	0000/000029285_01_text.txt	605
000029285_02	000029285	2	3	0000/000029285_02_text.txt	584
000029285_03	000029285	3	3	0000/000029285_03_text.txt	679
000029328_01	000029328	1	1	0000/000029328_01_text.txt	76
000029505_01	000029505	1	1	0000/000029505_01_text.txt	82
000029776_01	000029776	1	1	0000/000029776_01_text.txt	311
000029844_01	000029844	1	1	0000/000029844_01_text.txt	69
000029951_01	000029951	1	1	0000/000029951_01_text.txt	216
000030269_01	000030269	1	1	0000/000030269_01_text.txt	1441
000030631_01	000030631	1	1	0000/000030631_01_text.txt	41
000031263_01	000031263	1	1	0000/000031263_01_text.txt	1336
000031272_01	000031272	1	1	0000/000031272_01_text.txt	961
000031283_01	000031283	1	1	0000/000031283_01_text.txt	1222
000031858_01	000031858	1	1	0000/000031858_01_text.txt	82
000032512_01	000032512	1	1	0000/000032512_01_text.txt	212
000032791_01	000032791	1	1	0000/000032791_01_text.txt	2767
000033323_01	000033323	1	1	0000/000033323_01_text.txt	285
000033366_01	000033366	1	3	0000/000033366_01_text.txt	326
000033366_02	000033366	2	3	0000/000033366_02_text.txt	259
000033366_03	000033366	3	3	0000/000033366_03_text.txt	287
000033372_01	000033372	1	1	0000/000033372_01_text.txt	485
000033374_01	000033374	1	2	0000/000033374_01_text.txt	225
000033374_02	000033374	2	2	0000/000033374_02_text.txt	226
000033377_01	000033377	1	3	0000/000033377_01_text.txt	341
000033377_02	000033377	2	3	0000/000033377_02_text.txt	338
000033377_03	000033377	3	3	0000/000033377_03_text.txt	321
000033378_01	000033378	1	1	0000/000033378_01_text.txt	470
000033379_01	000033379	1	2	0000/000033379_01_text.txt	277
000033379_02	000033379	2	2	0000/000033379_02_text.txt	320
000033380_01	000033380	1	1	0000/000033380_01_text.txt	222
000033385_01	000033385	1	3	0000/000033385_01_text.txt	297
000033385_02	000033385	2	3	0000/000033385_02_text.txt	296
